IPN          , MPN            , Manufacturer             , Description                                                               , Symbol        , Footprint                      , Capacitance, Voltage, Material, Tolerance, Datasheet                                                                                                     , JPN    , JPT
CAP-0001-0103, CL05B103KB5NNNC, Samsung Electro-Mechanics, 50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS  , Device:C_Small, Capacitor_SMD:C_0402_1005Metric, 10nF       , 50V    , X7R     , ±10%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf , C15195 , Basic
CAP-0002-0225, CL05A225MQ5NSNC, Samsung Electro-Mechanics, 6.3V 2.2uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, Device:C_Small, Capacitor_SMD:C_0402_1005Metric, 2.2uF      , 6.3V   , X5R     , ±20%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A225MQ5NSNC_C12530.pdf , C12530 , Basic
CAP-0003-0016, CL05A105KA5NQNC, Samsung Electro-Mechanics, 25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS   , Device:C_Small, Capacitor_SMD:C_0402_1005Metric, 1uF        , 25V    , X5R     , ±10%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf , C52923 , Basic
CAP-0004-0475, CL05A475MP5NRNC, Samsung Electro-Mechanics, 10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS , Device:C_Small, Capacitor_SMD:C_0402_1005Metric, 4.7uF      , 10V    , X5R     , ±20%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf , C23733 , Basic
CAP-0005-0011, CL10C100JB8NNNC, Samsung Electro-Mechanics, 50V 10pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS   , Device:C_Small, Capacitor_SMD:C_0603_1608Metric, 10pF       , 50V    , C0G     , ±5%      , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10C100JB8NNNC_C1634.pdf  , C1634  , Basic
CAP-0006-0011, CL05C100JB5NNNC, Samsung Electro-Mechanics, 50V 10pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS   , Device:C_Small, Capacitor_SMD:C_0402_1005Metric, 10pF       , 50V    , C0G     , ±5%      , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05C100JB5NNNC_C32949.pdf , C32949 , Basic
CAP-0007-0021, CL10C200JB8NNNC, Samsung Electro-Mechanics, 50V 20pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS   , Device:C_Small, Capacitor_SMD:C_0603_1608Metric, 20pF       , 50V    , C0G     , ±5%      , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10C200JB8NNNC_C1648.pdf  , C1648  , Basic
CAP-0008-0021, CL21C200JBANNNC, Samsung Electro-Mechanics, 50V 20pF C0G ±5% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS   , Device:C_Small, Capacitor_SMD:C_0805_2012Metric, 20pF       , 50V    , C0G     , ±5%      , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21C200JBANNNC_C1798.pdf  , C1798  , Basic
CAP-0009-0021, CL10C200JB8NNNC, Samsung Electro-Mechanics, 50V 20pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS   , Device:C_Small, Capacitor_SMD:C_0603_1608Metric, 20pF       , 50V    , C0G     , ±5%      , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10C200JB8NNNC_C1648.pdf  , C1648  , Basic
CAP-0010-0015, CL05B104KO5NNNC, Samsung Electro-Mechanics, 16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS , Device:C_Small, Capacitor_SMD:C_0402_1005Metric, 100nF      , 16V    , X7R     , ±10%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf  , C1525  , Basic
CAP-0011-0015, CL31B104KBCNNNC, Samsung Electro-Mechanics, 50V 100nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS , Device:C_Small, Capacitor_SMD:C_1206_3216Metric, 100nF      , 50V    , X7R     , ±10%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL31B104KBCNNNC_C24497.pdf , C24497 , Basic
CAP-0012-0015, CL21B104KCFNNNE, Samsung Electro-Mechanics, 100V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, Device:C_Small, Capacitor_SMD:C_0805_2012Metric, 100nF      , 100V   , X7R     , ±10%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21B104KCFNNNE_C28233.pdf , C28233 , Basic
CAP-0013-0015, CL05B104KB54PNC, Samsung Electro-Mechanics, 50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS , Device:C_Small, Capacitor_SMD:C_0402_1005Metric, 100nF      , 50V    , X7R     , ±10%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf, C307331, Basic
CAP-0014-0226, CL31A226KPHNNNE, Samsung Electro-Mechanics, 10V 22uF X5R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS  , Device:C_Small, Capacitor_SMD:C_1206_3216Metric, 22uF       , 10V    , X5R     , ±10%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2410010202_Samsung-Electro-Mechanics-CL31A226KPHNNNE_C5672.pdf  , C5672  , Preferred
CAP-0015-0226, CL21A226MAQNNNE, Samsung Electro-Mechanics, 25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS  , Device:C_Small, Capacitor_SMD:C_0805_2012Metric, 22uF       , 25V    , X5R     , ±20%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf , C45783 , Basic
CAP-0016-0226, CL10A226MQ8NRNC, Samsung Electro-Mechanics, 6.3V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS , Device:C_Small, Capacitor_SMD:C_0603_1608Metric, 22uF       , 6.3V   , X5R     , ±20%     , https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.pdf , C59461 , Basic